pH,DO(mg/l),CODMn(mg/l),NH3-N(mg/l),本周水质
7.95,6.9,9.5,0.39,4
8.68,8.33,13.5,0.62,5
8.88,8.52,13.3,0.7,5
8.11,7.0,11.0,0.53,5
8.24,10.5,2.3,0.31,2
7.72,8.23,1.1,0.2,2
8.35,15.2,5.5,0.72,3
8.15,3.27,7.6,6.6,6
7.29,9.22,0.0,1.44,4
8.36,10.3,1.5,0.06,1
8.3,11.8,3.6,0.52,3
8.17,10.1,1.4,0.26,2
7.62,7.81,0.7,0.22,2
8.54,14.3,5.3,0.59,3
8.17,3.79,8.9,6.34,6
7.34,9.32,3.7,1.37,4
8.48,10.0,1.5,0.05,1
8.31,11.4,3.6,0.55,3
8.43,10.3,1.7,0.19,2
7.64,8.27,0.8,0.17,2
8.79,14.2,5.5,0.46,3
8.2,3.34,8.4,5.4,6
7.24,9.66,2.8,1.29,4
8.47,10.3,1.5,0.06,1
8.25,10.5,3.5,0.59,3
8.58,10.1,2.0,0.18,2
7.6,8.02,0.9,0.22,2
8.25,11.7,4.9,0.45,3
8.31,3.39,8.0,4.77,6
7.29,9.49,4.1,1.0,3
8.56,10.4,1.6,0.06,1
8.19,10.1,3.5,0.59,3
8.31,9.5,2.1,0.2,2
7.57,7.45,0.9,0.2,2
7.99,9.78,4.8,0.32,3
8.02,3.36,7.8,3.78,6
7.79,9.2,3.8,1.6,5
8.47,9.84,1.6,0.05,1
8.15,9.43,3.5,0.56,3
8.38,9.52,2.1,0.24,2
7.49,6.8,1.0,0.21,2
8.19,10.8,5.3,0.26,3
7.76,3.4,11.4,2.4,6
7.88,9.04,4.4,2.15,6
8.45,9.75,1.7,0.03,1
8.21,9.26,3.5,0.32,2
8.53,9.13,2.1,0.27,2
7.47,7.05,1.1,0.2,2
7.78,9.57,3.8,0.44,2
7.78,3.43,9.7,1.96,5
7.58,9.17,4.9,1.16,4
8.35,9.41,1.8,0.03,1
8.21,9.35,3.3,0.17,2
8.09,8.26,2.0,0.25,2
8.0,8.99,1.6,0.13,1
7.65,8.25,3.8,0.39,2
7.8,3.67,11.3,3.34,6
7.2,7.84,3.3,0.87,3
8.34,9.13,2.0,0.03,1
7.9,7.85,4.5,0.27,3
8.5,10.1,1.9,0.13,1
7.37,5.59,4.0,0.66,3
7.95,9.0,4.7,0.38,3
8.37,7.55,1.9,0.24,2
8.44,8.78,1.7,0.03,1
7.83,3.55,12.4,0.25,5
7.11,7.57,3.0,0.71,3
8.41,10.1,2.2,0.14,2
7.44,6.33,4.1,0.62,3
8.0,9.36,4.1,0.43,3
8.07,7.42,2.1,0.24,2
8.25,8.5,1.5,0.06,1
7.64,3.01,12.4,1.2,5
6.9,7.03,3.0,0.77,3
8.13,9.93,1.9,0.15,1
7.57,7.0,3.9,0.5,2
8.14,11.2,4.8,0.4,3
8.51,8.14,2.1,0.31,2
8.19,7.89,1.5,0.12,1
7.64,2.96,11.6,1.03,5
7.12,7.34,3.7,0.35,2
6.94,6.93,4.0,0.46,2
8.18,8.01,1.6,0.06,1
7.73,3.52,11.1,1.19,5
7.55,5.83,3.9,0.57,3
8.41,7.78,1.7,0.31,2
7.98,9.27,0.6,0.22,2
7.88,8.23,3.4,0.46,2
8.5,7.35,1.2,0.3,2
7.92,8.59,1.3,0.3,2
7.31,4.41,3.9,0.66,4
7.71,3.4,10.1,2.09,6
6.79,6.77,3.9,0.36,2
8.17,7.83,1.7,0.05,1
7.8,7.5,3.4,0.49,2
8.29,8.76,1.9,0.04,1
7.64,3.03,10.1,2.95,6
7.81,6.56,3.3,0.5,2
7.45,5.43,4.2,0.43,3
8.69,6.55,1.7,0.32,2
7.9,8.1,2.6,0.16,2
6.64,6.21,4.0,0.21,2
8.43,13.2,4.2,0.25,3
6.65,6.5,2.9,0.43,2
8.15,7.84,1.8,0.04,1
7.36,6.02,3.7,0.28,2
8.48,6.78,1.8,0.29,2
8.11,9.51,1.1,0.12,1
7.76,2.79,10.9,4.92,6
7.41,2.57,15.0,1.66,5
6.95,5.54,4.1,0.24,3
7.68,6.93,2.8,0.2,2
8.07,8.35,1.3,0.11,1
8.13,7.51,1.8,0.04,1
8.54,6.52,1.9,0.21,2
6.59,6.32,4.3,0.4,3
8.33,6.85,2.0,0.18,2
8.03,8.4,1.5,0.11,1
6.44,3.99,4.3,1.08,4
7.35,2.75,23.2,0.35,6
6.58,6.75,5.8,0.58,3
8.25,7.82,2.0,0.05,1
7.74,6.53,2.9,0.2,2
8.13,6.4,1.9,0.24,2
7.89,7.81,0.8,0.11,1
7.01,5.28,4.2,0.51,3
7.4,1.89,17.3,0.39,6
8.06,8.0,2.0,0.04,1
7.82,7.21,3.1,0.16,2
8.52,7.18,1.6,0.32,2
7.91,7.51,2.0,0.12,1
7.33,5.88,3.8,0.27,3
7.3,1.68,15.1,1.01,6
7.87,7.57,1.7,0.02,1
7.84,7.4,3.2,0.14,2
8.28,7.21,1.3,0.25,2
8.0,7.89,1.0,0.12,1
7.46,5.07,3.5,0.55,3
7.37,2.4,13.3,1.84,5
8.13,7.54,1.9,0.02,1
7.87,7.3,3.0,0.14,2
8.13,8.16,2.0,0.03,1
7.32,2.85,16.7,0.6,6
7.82,7.05,2.8,0.18,2
8.0,7.85,0.9,0.12,1
7.64,5.46,3.9,0.59,3
8.06,7.3,2.2,0.31,2
7.27,2.93,12.0,0.06,5
8.05,7.21,2.0,0.22,2
8.13,7.93,2.3,0.11,2
8.15,8.56,2.0,0.03,1
8.26,11.1,4.5,0.13,3
6.53,4.16,4.7,1.03,4
7.55,6.87,4.7,0.39,3
8.24,7.18,1.9,0.18,2
8.28,8.26,2.8,0.1,2
6.99,5.02,4.3,0.18,3
7.37,2.54,12.9,0.07,5
6.4,4.44,5.0,0.73,4
8.15,7.75,1.7,0.04,1
7.89,6.59,3.4,0.17,2
8.06,6.76,1.9,0.13,2
8.32,8.09,4.1,0.11,3
7.43,6.56,4.6,0.26,3
7.48,2.18,12.5,0.11,5
6.75,6.91,6.0,0.39,3
7.99,7.57,2.0,0.02,1
8.03,7.81,3.3,0.17,2
8.35,6.78,1.9,0.15,2
8.42,8.59,2.6,0.11,2
7.72,8.14,5.0,0.38,3
7.23,2.19,13.4,1.26,5
6.94,6.84,4.8,0.35,3
8.04,7.61,1.8,0.03,1
7.76,6.56,3.0,0.43,2
6.81,6.69,5.8,0.75,3
8.02,7.83,1.9,0.03,1
7.57,1.92,13.7,1.27,6
7.87,6.96,3.7,0.57,3
8.33,8.27,2.4,0.1,2
7.45,7.09,4.6,1.06,4
7.92,6.35,1.8,0.16,2
7.66,6.3,2.8,0.16,2
8.1,8.18,4.0,0.12,2
7.85,6.45,4.4,0.18,3
7.58,2.23,15.6,0.87,6
6.74,6.28,6.0,0.59,3
8.05,7.67,1.9,0.04,1
7.94,7.68,3.6,0.15,2
7.87,5.94,2.5,0.27,3
7.84,7.51,3.4,0.12,2
7.65,6.6,4.8,0.31,3
6.7,5.72,6.1,0.87,4
8.1,7.37,1.9,0.04,2
7.78,6.89,3.3,0.15,2
8.14,7.0,2.0,0.14,2
7.93,7.92,2.7,0.15,2
7.38,6.82,5.4,0.3,3
7.77,2.21,18.2,0.15,6
6.9,6.85,4.9,0.35,3
8.14,7.8,1.9,0.03,1
8.06,7.9,3.5,0.11,2
7.51,2.05,19.0,1.68,6
8.27,7.31,1.7,0.13,2
7.89,7.82,2.2,0.15,2
8.18,8.07,1.9,0.03,1
8.02,8.07,3.3,0.1,2
6.71,6.67,5.6,0.69,3
7.39,6.07,5.7,0.87,3
8.2,7.43,1.9,0.11,2
7.9,7.62,3.4,0.14,2
7.74,7.95,5.4,0.32,3
7.42,1.8,22.3,4.54,6
6.84,7.49,4.0,0.44,2
8.2,8.29,1.8,0.03,1
8.12,8.44,3.3,0.09,2
8.36,7.15,1.6,0.17,2
7.97,7.53,2.3,0.11,2
7.89,9.26,5.6,0.31,3
7.26,1.78,18.3,3.66,6
7.0,6.34,4.3,0.5,3
8.29,8.34,1.9,0.03,1
8.02,8.32,3.4,0.08,2
8.32,7.53,2.8,0.03,2
7.41,2.11,13.8,5.35,6
8.76,8.22,1.5,0.21,2
7.2,8.06,4.8,0.37,3
7.92,10.2,5.7,0.36,3
7.97,8.3,3.4,0.07,2
8.0,8.57,1.8,0.13,1
8.01,8.69,1.8,0.14,1
8.04,10.6,5.4,0.2,3
7.08,7.43,4.5,0.82,3
8.13,8.51,3.6,0.08,2
7.23,1.1,11.2,6.91,6
8.58,8.73,1.7,0.19,2
8.25,8.15,1.8,0.05,1
8.24,8.37,1.6,0.2,2
7.96,8.38,2.2,0.14,2
7.99,10.3,5.3,0.18,3
7.33,0.93,12.8,8.32,6
7.3,8.39,5.0,0.29,3
8.37,8.44,2.0,0.03,1
8.1,8.7,3.1,0.13,2
8.1,8.98,3.2,0.17,2
7.11,7.09,5.4,0.46,3
8.44,8.84,2.2,0.04,2
7.93,8.16,4.9,0.35,3
7.92,8.99,1.0,0.19,2
7.98,8.35,2.0,0.13,1
7.87,9.03,1.1,0.17,2
7.84,8.02,2.0,0.14,1
7.85,8.11,5.1,0.2,3
7.14,7.46,5.7,0.3,3
8.47,9.31,2.2,0.03,2
8.17,9.03,3.2,0.19,2
7.84,9.34,2.5,0.17,2
7.67,8.15,2.0,0.14,1
8.25,9.74,5.2,0.63,3
7.3,8.7,5.7,0.56,3
8.48,9.74,2.1,0.02,2
8.36,10.5,3.1,0.35,2
7.83,9.5,2.4,0.15,2
7.68,8.33,2.2,0.14,2
8.01,9.11,5.8,0.79,3
7.43,8.73,5.0,0.4,3
8.49,9.84,2.0,0.03,1
8.51,11.8,3.3,0.57,3
7.85,9.76,2.4,0.15,2
7.74,8.58,2.3,0.13,2
8.44,12.8,5.8,0.68,3
7.51,9.01,5.4,0.85,3
8.34,10.1,2.0,0.04,1
8.81,17.9,4.1,0.48,3
7.96,11.2,2.1,0.12,2
7.86,10.1,2.3,0.11,2
8.44,13.3,5.9,0.48,3
8.89,19.7,4.5,0.64,3
7.53,10.1,4.7,0.68,3
8.35,10.7,2.1,0.04,2
7.98,12.2,2.1,0.1,2
7.8,10.3,2.2,0.12,2
7.93,12.8,6.8,1.02,4
8.07,2.97,13.8,3.98,6
7.37,9.74,4.1,0.76,3
8.15,10.8,2.1,0.04,2
8.85,24.9,3.8,0.59,3
8.1,3.14,13.3,4.09,6
7.98,12.8,2.1,0.1,2
7.83,8.09,2.0,0.13,1
7.96,10.8,1.9,0.04,1
8.67,25.7,3.8,0.45,2
7.35,9.66,4.2,0.68,3
7.73,12.5,8.8,2.35,6
7.97,13.2,1.6,0.08,1
8.15,8.71,2.2,0.12,2
7.98,13.8,11.3,1.99,5
8.07,2.82,10.1,5.2,6
7.33,9.62,4.0,0.92,3
8.1,11.0,1.8,0.04,1
8.22,19.2,2.0,0.4,2
8.08,3.51,10.2,5.95,6
8.06,13.7,1.1,0.16,2
8.17,8.96,2.0,0.12,1
7.81,11.0,2.0,0.03,1
8.18,20.0,2.0,0.37,2
7.44,9.2,3.5,0.97,3
8.05,14.7,8.3,1.92,5
7.51,9.6,3.4,0.9,3
8.09,13.8,0.7,0.18,2
8.16,9.39,1.9,0.11,1
8.07,3.81,8.9,5.62,6
8.39,21.2,2.2,0.33,2
7.58,10.9,1.9,0.04,1
8.26,16.3,11.0,1.68,5
8.14,13.7,0.9,0.19,2
8.16,9.03,1.9,0.05,1
8.3,13.9,10.0,1.89,5
8.04,3.65,10.3,6.08,6
7.52,10.5,4.7,0.7,3
7.86,10.8,1.9,0.04,1
8.21,18.4,3.0,0.33,2
8.01,10.6,1.9,0.04,1
7.99,3.47,9.5,6.71,6
8.16,13.4,1.0,0.19,2
7.16,10.5,4.6,0.97,3
8.0,12.4,8.8,2.06,6
8.08,19.0,4.6,0.38,3
8.18,9.38,1.9,0.03,1
7.18,10.2,4.4,1.32,4
8.61,12.3,2.0,0.04,1
7.92,3.42,10.4,6.97,6
8.63,20.9,4.3,0.25,3
8.09,10.7,2.3,0.03,2
7.63,9.89,7.5,2.29,6
8.15,13.6,1.6,0.21,2
7.2,11.1,4.4,1.5,4
8.22,10.7,2.0,0.04,1
7.9,3.28,11.6,8.59,6
8.4,18.0,3.2,0.23,2
8.05,10.9,1.7,0.08,1
8.12,9.63,6.9,2.1,6
8.12,13.5,2.5,0.15,2
8.13,13.2,2.3,0.13,2
8.01,10.5,1.9,0.15,1
8.87,10.2,6.9,2.14,6
7.88,3.16,12.5,7.83,6
7.29,10.9,4.2,1.5,4
8.33,11.1,1.8,0.08,1
8.17,14.5,2.7,0.27,2
8.04,10.5,3.5,0.13,2
8.76,11.0,7.0,1.78,5
8.05,13.0,2.7,0.29,2
8.13,12.7,2.4,0.12,2
8.7,11.6,2.0,0.06,1
7.87,3.15,10.0,7.58,6
7.35,10.5,2.7,1.7,5
7.41,14.0,3.8,0.16,2
7.23,8.03,5.3,0.46,3
7.59,12.5,3.4,0.66,3
7.95,10.5,4.3,0.55,3
8.21,13.9,0.0,0.61,3
7.72,9.29,2.2,0.47,2
7.86,10.8,4.9,1.28,4
7.73,10.5,6.0,1.14,4
8.3,12.2,5.5,0.41,3
7.87,5.56,8.0,5.51,6
7.79,9.05,5.6,2.51,6
7.96,10.7,2.9,0.24,2
8.52,4.98,6.2,1.1,4
8.22,16.8,5.8,0.57,3
8.69,10.1,5.7,0.35,3
8.02,9.35,6.1,0.14,4
8.68,12.1,15.0,3.57,6
8.32,14.8,4.4,0.04,3
8.42,11.3,4.8,0.1,3
8.21,13.8,2.7,0.2,2
8.02,11.1,3.1,0.42,2
8.17,14.0,7.4,0.24,4
7.56,7.48,4.8,0.55,3
7.81,13.1,3.2,0.28,2
7.74,10.4,3.2,0.43,2
7.69,9.33,5.3,2.6,6
7.61,10.5,6.6,0.28,4
7.24,7.58,5.0,0.56,3
7.09,14.3,3.5,0.2,2
6.72,9.46,2.9,0.41,2
8.15,10.6,3.0,0.29,2
8.53,5.25,5.4,1.07,4
8.51,10.6,4.4,0.31,3
8.04,8.48,6.0,0.28,3
7.77,12.1,4.3,0.35,3
7.85,10.4,4.2,0.53,3
7.93,13.0,29.8,0.66,6
7.95,9.3,2.0,0.44,2
7.77,10.6,4.9,1.35,4
7.61,9.09,5.8,0.85,3
8.0,10.1,4.5,0.7,3
7.52,4.78,5.3,7.9,6
8.39,17.7,6.8,0.57,4
8.69,12.9,16.0,3.37,6
8.02,11.0,3.9,0.12,2
8.41,11.2,4.5,0.78,3
8.32,13.2,2.6,0.26,2
7.56,5.51,4.7,0.88,3
7.75,10.8,4.2,1.02,4
7.85,12.7,3.3,0.29,2
7.47,8.81,6.3,0.3,4
7.7,10.0,4.1,1.22,4
7.9,12.3,3.3,0.64,3
7.22,10.3,4.5,1.0,3
7.15,14.1,3.6,0.2,2
6.98,9.67,2.8,0.36,2
7.4,10.2,7.0,0.61,4
7.91,9.22,2.1,0.32,2
7.63,9.2,4.2,0.62,3
7.84,10.9,3.4,0.36,2
7.87,10.2,3.9,0.51,3
7.35,7.27,5.6,0.77,3
7.92,8.12,4.3,1.14,4
7.51,3.26,5.2,5.03,6
7.81,8.86,4.5,1.36,4
7.99,10.2,2.9,0.26,2
8.52,5.88,5.0,1.05,4
8.95,16.3,6.6,0.55,4
8.32,10.3,4.5,0.29,3
7.84,7.9,1.7,0.49,2
8.65,11.2,13.7,3.03,6
7.92,9.93,4.0,0.27,2
8.39,11.7,4.8,0.78,3
8.29,12.3,3.8,0.4,2
7.57,6.0,4.6,0.59,3
7.91,11.0,3.3,0.56,3
7.3,13.5,3.0,0.16,2
7.22,9.39,2.9,0.26,2
7.62,10.2,3.2,0.35,2
7.88,9.46,3.9,0.59,3
7.37,8.5,5.0,3.17,6
7.76,8.76,2.1,0.28,2
7.54,9.14,3.9,0.75,3
7.13,4.27,5.4,0.53,4
8.38,11.9,4.0,0.33,2
7.78,10.0,5.2,0.89,3
7.48,8.25,6.7,0.33,4
7.48,5.83,4.6,0.92,3
7.9,6.73,4.1,0.82,3
7.62,1.62,5.8,7.38,6
7.74,9.24,4.2,1.2,4
7.6,9.77,3.0,0.32,2
8.53,4.64,8.0,1.07,4
8.54,11.7,5.9,0.51,3
8.34,9.51,3.8,0.17,2
7.71,7.03,1.6,0.61,3
8.62,11.1,12.4,2.75,6
7.87,8.55,3.5,0.12,2
8.41,10.2,5.6,1.09,4
7.24,10.4,4.1,1.12,4
7.94,8.05,2.2,0.39,2
7.66,7.63,4.7,0.27,3
7.03,5.06,4.9,1.02,4
7.87,6.33,4.7,0.84,3
7.65,0.75,5.9,6.72,6
7.92,10.1,3.2,0.12,2
7.38,8.89,4.1,0.94,3
7.05,8.57,2.6,0.3,2
8.56,8.49,3.1,0.25,2
7.63,11.2,3.7,0.32,2
7.87,8.43,4.1,0.53,3
7.41,8.73,4.4,1.32,4
7.72,9.25,4.3,0.73,3
8.12,4.79,5.5,0.46,4
8.62,1.75,6.8,1.17,6
8.14,6.06,5.8,0.55,3
8.61,8.02,3.7,0.22,2
7.86,5.2,2.3,0.16,3
8.61,9.22,12.9,3.38,6
7.88,8.21,3.4,0.09,2
8.32,9.14,5.2,0.24,3
8.04,10.3,3.1,0.22,2
7.88,14.8,6.7,0.3,4
7.89,8.9,7.4,0.36,4
7.5,8.25,4.0,0.81,3
8.49,8.18,3.8,0.17,2
8.22,8.18,6.5,0.8,4
8.6,10.0,11.7,2.03,6
8.06,9.8,3.5,0.09,2
7.47,5.0,4.5,0.27,3
8.38,11.3,6.0,0.2,3
7.81,11.2,3.2,0.17,2
7.8,8.53,4.6,0.3,3
7.7,8.31,3.6,1.18,4
7.91,8.36,2.1,0.34,2
7.36,8.54,4.3,0.58,3
7.18,7.96,5.0,0.32,3
8.01,9.6,4.9,0.64,3
7.66,5.46,5.6,0.0,3
7.99,10.1,3.3,0.13,2
7.39,8.4,4.1,0.55,3
7.1,7.97,2.7,0.27,2
8.5,8.32,3.4,0.2,2
7.61,8.46,3.8,0.34,2
8.12,13.5,6.3,0.44,4
8.35,11.2,7.7,0.23,4
7.81,11.3,4.8,0.19,3
7.71,9.04,3.7,0.51,3
7.96,4.5,4.2,0.29,4
8.7,3.22,9.1,5.4,6
7.9,7.89,2.9,0.47,2
8.04,9.36,3.4,0.13,2
7.25,10.8,4.6,0.25,3
7.1,7.56,3.0,0.21,2
8.3,7.33,3.9,0.09,2
7.6,9.37,4.1,0.3,3
7.75,7.8,5.8,0.29,3
7.51,8.68,4.1,0.71,3
7.58,4.18,5.3,7.33,6
7.54,6.73,3.6,0.51,3
8.06,5.04,3.8,0.37,3
8.67,4.09,6.5,22.3,6
8.1,5.6,7.7,0.96,4
8.29,7.82,3.7,0.2,2
7.55,5.07,2.7,0.36,3
8.61,9.7,11.8,1.94,5
8.13,10.6,5.1,0.1,3
7.53,6.73,4.7,0.27,3
7.98,14.2,5.2,0.49,3
7.27,5.59,3.9,0.64,3
7.02,6.14,4.9,0.96,3
7.83,7.97,5.1,0.31,3
7.64,12.2,3.1,0.19,2
8.01,11.7,7.1,0.77,4
8.3,11.1,8.4,0.24,4
7.25,8.46,4.9,0.67,3
8.02,9.56,8.6,0.26,4
7.25,10.4,4.6,0.37,3
8.09,11.4,6.0,0.32,3
7.55,12.0,3.0,0.17,2
7.79,10.7,6.8,0.62,4
8.07,8.82,3.4,0.31,2
7.27,9.41,3.8,0.65,3
7.49,6.72,4.0,0.22,2
7.98,6.8,3.9,0.18,2
7.61,7.47,4.2,0.28,3
7.58,6.94,5.4,0.28,3
6.79,5.95,0.0,0.76,3
7.28,3.9,3.7,1.26,4
7.02,3.8,4.9,1.01,4
7.65,5.56,4.1,0.54,3
7.81,2.23,5.0,6.14,6
7.38,4.11,3.1,0.56,4
7.75,5.45,5.2,0.29,3
8.73,2.91,6.2,3.56,6
8.48,7.99,13.0,0.61,5
7.96,8.19,3.9,0.25,2
7.48,4.29,2.0,0.61,4
8.61,8.5,10.1,2.27,6
7.93,9.85,5.1,0.27,3
7.55,6.42,4.8,0.33,3
7.99,7.01,3.8,0.23,2
8.42,7.23,6.9,1.29,4
8.59,5.5,10.8,2.75,6
7.6,6.15,5.1,0.37,3
7.39,5.71,4.2,0.32,3
7.96,9.19,6.3,0.93,4
7.46,10.3,2.6,0.18,2
7.66,9.43,5.3,0.75,3
7.71,8.96,8.3,0.31,4
7.22,9.14,4.7,0.73,3
8.19,7.64,3.3,0.17,2
7.34,8.62,4.4,0.49,3
7.66,6.99,2.5,0.23,2
7.91,7.04,4.0,0.15,2
7.53,6.84,4.4,0.27,3
7.36,5.78,4.9,0.19,3
7.52,7.26,2.1,0.13,2
7.23,3.86,3.8,1.66,5
7.09,4.12,5.4,2.0,5
7.56,4.01,3.0,0.69,4
7.95,1.95,5.0,3.86,6
7.45,4.26,3.2,0.61,4
7.88,4.88,4.2,0.31,4
8.72,1.33,8.5,1.07,6
7.5,4.06,1.8,0.88,4
7.54,6.19,4.0,0.26,2
7.58,9.04,4.5,0.19,3
7.56,6.67,1.8,0.13,2
7.69,6.74,4.2,0.16,3
7.76,8.37,5.6,0.43,3
7.5,10.8,2.7,0.23,2
7.43,9.13,5.5,0.7,3
7.56,9.0,7.8,0.36,4
7.1,9.21,4.7,0.87,3
7.21,4.63,4.1,0.55,4
8.26,7.64,3.2,0.08,2
7.25,6.86,4.9,1.54,5
7.54,4.25,3.6,0.51,4
7.31,1.85,5.0,6.99,6
7.57,5.95,3.4,0.87,3
7.93,5.43,4.3,0.28,3
8.5,3.75,7.3,1.18,4
8.41,6.67,6.4,1.2,4
7.85,7.14,3.9,0.25,2
7.6,6.75,2.7,0.35,2
8.57,5.4,10.4,2.42,6
7.78,9.57,4.9,0.29,3
7.4,5.87,4.3,0.22,3
7.35,8.39,5.3,0.87,3
7.25,5.47,4.3,0.16,3
7.71,7.82,2.4,0.17,2
7.36,9.66,5.3,2.16,6
7.83,7.48,4.3,0.19,3
7.56,2.84,4.9,5.23,6
7.86,9.87,4.2,0.51,3
7.43,4.55,3.6,0.25,4
8.06,7.36,3.2,0.08,2
7.28,8.06,4.1,0.45,3
7.48,10.4,4.8,0.21,3
7.55,6.2,4.2,0.05,3
7.52,5.95,4.1,0.26,3
8.66,3.73,10.5,1.31,5
8.47,6.3,7.0,0.65,4
7.81,7.61,4.0,0.25,2
7.65,6.06,2.1,0.1,2
8.81,7.95,10.0,1.32,4
7.94,11.2,5.1,0.21,3
7.43,6.24,3.8,0.19,2
8.05,12.3,5.5,0.2,3
7.58,11.6,2.8,0.22,2
7.69,11.1,5.5,0.29,3
7.92,8.88,7.8,0.19,4
7.29,8.06,4.7,0.5,3
7.26,5.31,5.1,0.35,3
7.2,5.07,3.7,1.39,4
7.57,7.62,4.5,0.23,3
7.32,7.78,5.6,0.33,3
7.42,6.23,4.8,0.24,3
7.28,4.77,5.8,0.4,4
7.77,8.26,2.5,0.12,2
7.22,6.41,4.4,0.79,3
7.07,4.48,4.4,0.98,4
7.76,7.02,5.1,0.16,3
7.41,4.04,4.9,5.05,6
7.2,4.23,4.8,0.22,4
8.49,2.39,8.1,1.35,5
8.47,6.97,7.7,0.33,4
7.89,7.39,4.0,0.32,2
7.54,5.22,1.6,0.11,3
8.73,7.26,8.9,0.74,4
7.92,9.27,4.3,0.24,3
7.47,6.39,4.0,0.2,2
8.02,11.5,3.9,0.24,2
7.6,11.1,2.5,0.18,2
7.9,8.78,5.6,0.23,3
8.1,8.49,7.7,0.21,4
7.61,7.71,4.8,0.45,3
7.9,9.11,4.9,0.23,3
7.4,5.16,4.3,0.06,3
6.99,8.29,4.9,0.55,3
7.52,6.76,5.3,0.23,3
7.63,5.1,5.0,0.11,3
7.49,7.58,5.4,0.22,3
7.33,4.23,5.5,0.85,4
7.56,7.54,2.4,0.12,2
7.14,5.52,4.6,1.06,4
7.24,4.34,5.3,0.74,4
7.3,2.34,4.4,0.71,5
7.49,3.8,7.4,4.74,6
7.69,7.57,4.5,0.3,3
7.18,4.65,2.2,0.26,4
8.43,2.3,8.5,1.28,5
8.27,4.0,8.4,0.44,4
7.57,7.77,4.0,0.25,2
7.35,3.34,1.6,0.18,4
8.46,4.41,9.8,2.35,6
7.97,4.05,4.2,0.25,4
7.47,6.37,4.0,0.21,2
7.81,7.45,4.1,0.37,3
7.6,10.5,2.3,0.18,2
7.79,8.74,6.0,0.31,3
7.59,6.09,8.0,0.38,4
7.34,7.65,5.1,0.52,3
8.46,8.32,3.3,0.17,2
7.48,8.06,4.7,0.36,3
7.46,6.12,4.5,0.03,3
7.55,6.74,5.1,0.2,3
7.32,5.26,5.2,1.3,4
7.43,7.5,3.1,0.13,2
7.27,5.92,5.6,1.06,4
7.57,7.37,5.0,0.49,3
7.52,5.28,4.9,0.39,3
7.62,4.68,6.3,8.25,6
7.86,11.9,4.4,0.36,3
7.03,4.49,2.2,0.22,4
8.47,1.85,9.5,1.1,6
8.42,7.4,8.5,0.32,4
7.73,7.38,3.9,0.22,2
7.43,3.77,1.3,2.18,6
7.42,8.63,2.3,0.22,2
8.3,8.13,6.9,0.25,4
7.41,6.44,7.6,0.33,4
7.13,8.34,5.2,0.61,3
8.31,4.89,10.4,2.13,6
7.98,8.31,3.8,0.26,2
7.4,7.53,3.5,0.17,2
7.82,7.48,4.3,0.19,3
7.41,7.63,5.4,0.65,3
7.77,7.84,5.3,0.24,3
7.81,7.0,4.0,0.25,2
7.38,10.2,5.0,1.43,4
7.19,5.41,5.1,1.21,4
6.98,2.99,5.6,3.28,6
7.37,7.31,2.9,0.2,2
7.18,2.71,4.4,0.69,5
7.82,1.69,6.5,1.76,6
7.39,2.59,5.4,0.26,5
7.55,2.28,6.1,19.97,6
7.28,2.37,3.3,0.28,5
7.21,3.54,2.7,0.09,4
8.32,2.23,7.4,1.21,5
8.11,2.94,7.9,0.21,5
7.69,7.47,3.8,0.17,2
7.37,3.12,1.4,0.22,4
8.44,4.58,9.8,3.11,6
7.67,5.67,2.9,0.32,3
7.32,6.18,3.3,0.19,2
7.65,6.6,4.1,0.41,3
7.59,9.39,2.4,0.25,2
8.64,9.33,3.2,0.19,2
7.09,7.75,5.3,0.52,3
7.14,8.58,5.0,0.35,3
7.52,6.28,4.1,0.05,3
7.04,8.32,7.1,0.4,4
7.36,2.96,2.7,0.14,2
7.95,7.71,0.4,0.19,5
7.62,5.4,3.5,0.3,3
7.35,6.21,2.5,0.19,2
7.72,8.79,4.3,0.17,3
7.56,7.97,2.2,0.22,2
7.63,8.18,6.6,0.31,4
7.1,7.19,6.7,0.29,4
7.83,10.0,4.8,1.24,4
8.27,9.27,3.4,0.18,2
7.17,6.93,5.5,0.35,3
7.38,7.3,4.8,0.26,3
7.23,5.63,3.8,0.07,3
7.88,6.83,3.9,0.21,2
7.14,4.15,4.6,0.66,4
7.12,2.38,7.4,3.44,6
7.51,7.13,2.4,0.12,2
7.07,2.03,4.7,0.59,5
8.0,2.76,6.7,0.39,5
7.51,2.93,6.8,0.12,5
7.74,1.97,6.0,8.45,6
7.68,6.65,3.4,0.34,2
7.32,2.67,2.6,0.27,5
8.45,2.11,9.4,1.17,4
8.4,3.26,7.6,0.33,2
8.46,4.48,10.3,2.76,6
7.79,9.52,4.1,0.16,3
7.41,6.6,2.9,0.19,2
7.56,8.74,2.3,0.22,2
7.8,9.02,7.2,0.2,4
7.17,4.18,6.7,0.28,4
7.25,9.78,4.6,0.68,3
7.96,7.91,3.2,0.19,2
7.26,6.94,5.4,0.6,3
7.23,7.56,5.9,0.24,3
7.32,5.48,4.3,0.08,3
7.99,6.48,3.8,0.24,2
7.33,3.57,4.7,0.73,4
7.03,2.78,6.5,2.77,6
7.36,7.06,2.8,0.12,2
7.01,2.66,5.6,0.71,5
8.46,8.18,4.8,0.99,3
7.53,4.29,6.9,1.18,4
