pH,DO(mg/l),CODMn(mg/l),NH3-N(mg/l),本周水质
7.09,8.02,2.0,0.18,2
8.26,9.5,0.0,0.1,1
8.15,8.75,3.2,0.32,2
7.73,7.37,2.1,0.04,2
7.75,10.0,1.7,0.23,2
7.99,9.65,2.8,0.19,2
6.94,6.53,2.5,0.37,2
7.81,6.66,0.0,0.14,2
8.11,8.43,3.8,0.68,3
7.63,7.35,2.2,0.13,2
7.37,5.63,3.8,0.3,3
7.71,6.32,2.1,0.19,2
7.96,7.55,5.2,0.17,3
7.3,2.15,6.8,0.94,5
7.39,7.41,3.4,0.31,2
8.25,6.7,6.5,0.95,4
7.73,9.01,2.3,0.04,2
8.11,10.1,0.0,0.64,3
7.62,6.12,2.8,0.22,2
8.38,8.08,4.8,0.13,3
6.97,5.09,5.2,0.53,3
7.49,7.08,4.1,0.42,3
8.3,7.23,7.9,0.57,4
7.77,8.82,2.2,0.04,2
8.25,12.8,0.0,0.37,2
7.47,6.61,1.7,0.22,2
7.51,6.18,5.2,0.11,3
7.28,8.59,2.8,0.09,2
7.66,7.79,6.3,0.24,4
7.06,5.22,6.9,0.69,4
7.75,8.36,1.7,0.06,1
8.21,12.3,0.0,0.24,2
7.37,7.14,1.2,0.2,2
7.61,6.8,5.5,0.18,3
6.96,6.0,3.1,0.12,2
7.84,7.9,4.9,0.18,3
7.25,7.16,6.9,0.7,4
8.25,8.32,1.9,0.03,1
8.34,10.0,0.0,0.22,2
7.6,7.33,1.4,0.15,2
7.82,7.65,3.8,0.13,2
7.24,7.99,2.4,0.06,2
7.91,7.54,5.6,0.25,3
7.33,8.07,5.4,0.43,3
8.34,8.41,1.9,0.05,1
8.4,12.4,0.0,0.17,2
7.46,7.47,2.4,0.16,2
7.48,6.5,3.8,0.23,2
7.0,4.96,1.9,0.17,4
7.71,4.17,4.2,0.16,4
7.26,5.77,5.6,0.23,3
8.17,8.6,1.8,0.07,1
7.88,8.6,0.0,0.21,2
7.57,7.69,1.9,0.18,2
7.49,6.86,5.1,0.35,3
7.01,6.33,1.9,0.16,2
8.06,6.21,5.2,0.07,3
7.29,5.09,6.4,0.53,4
8.19,8.4,1.8,0.16,2
8.57,10.9,0.0,0.15,1
7.62,7.78,1.0,0.21,2
7.98,8.72,3.9,0.19,2
7.57,8.85,2.1,0.12,2
7.42,4.25,4.5,0.31,4
7.11,5.14,5.6,0.89,3
8.05,8.88,1.6,0.02,1
8.83,9.33,0.0,0.04,1
7.42,8.9,1.8,0.07,1
8.83,10.3,0.0,0.03,1
7.03,5.89,4.6,0.65,3
8.07,9.18,3.2,0.2,2
7.99,7.42,5.5,0.6,3
7.67,8.19,1.8,0.2,2
8.05,9.2,1.4,0.03,1
7.71,8.51,1.5,0.27,2
8.22,9.29,3.3,0.23,2
7.44,9.86,2.1,0.06,2
8.01,5.1,6.2,0.53,4
7.22,7.97,4.1,0.41,3
8.01,9.34,1.9,0.02,1
8.86,10.4,0.0,0.01,1
7.57,7.76,1.6,0.28,2
8.09,9.01,3.8,0.23,2
7.55,9.96,2.4,0.07,2
7.61,4.55,6.7,0.64,4
7.29,8.17,4.8,0.43,3
7.97,9.47,1.8,0.03,1
8.45,11.6,0.0,0.14,1
7.74,8.23,2.6,0.27,2
8.12,9.59,4.0,0.22,2
7.58,10.6,2.8,0.1,2
7.73,5.73,6.2,2.23,6
7.37,8.68,4.3,0.59,3
7.98,9.87,1.4,0.04,1
8.04,10.3,0.0,0.15,1
7.61,7.8,1.7,0.24,2
8.12,9.58,4.3,0.22,3
7.72,11.3,2.1,0.32,2
7.93,7.17,10.0,0.89,4
7.16,9.03,4.7,0.43,3
7.99,10.1,1.5,0.05,1
8.24,7.3,0.0,0.14,2
7.79,10.0,1.8,0.25,2
8.22,10.3,2.2,0.21,2
7.51,10.4,2.4,0.17,2
7.25,10.9,3.8,0.49,2
8.08,10.8,1.6,0.04,1
8.0,7.24,12.0,1.46,5
8.43,9.61,0.0,0.27,2
7.38,10.2,3.7,0.45,2
8.01,11.1,1.6,0.17,2
8.28,10.8,4.8,0.36,3
7.89,5.55,9.9,0.55,4
8.98,12.0,0.0,0.16,2
8.08,11.0,1.6,0.07,1
7.75,10.3,2.9,0.14,2
7.5,10.9,3.4,0.78,3
8.14,10.7,1.7,0.06,1
8.04,12.0,1.5,0.09,1
8.21,10.6,8.2,1.1,4
7.65,8.91,4.6,0.53,3
8.96,14.0,0.0,0.11,1
8.3,11.0,5.5,0.32,3
7.78,11.8,1.1,0.21,2
8.34,7.33,7.7,2.81,6
8.28,11.0,5.6,0.3,3
7.96,11.0,1.7,0.06,1
8.74,14.8,0.0,0.09,1
7.79,10.6,3.6,0.93,3
7.72,9.55,5.6,0.77,3
8.22,4.73,6.4,2.2,6
7.93,12.4,1.3,0.13,1
8.31,11.6,3.8,0.25,2
7.92,11.2,1.7,0.04,1
8.06,14.7,0.0,0.16,2
8.14,10.8,3.5,0.97,3
7.72,7.36,6.3,2.55,6
7.94,12.4,1.2,0.12,1
8.31,12.0,2.6,0.23,2
7.75,7.96,4.7,2.35,6
7.78,3.05,5.9,2.75,6
8.07,10.7,3.8,0.91,3
8.14,11.1,1.6,0.06,1
7.66,12.3,0.0,0.26,2
7.96,12.6,1.0,0.19,2
8.3,11.8,3.0,0.22,2
7.69,7.58,5.2,2.4,6
7.76,5.24,4.5,3.95,6
7.88,11.6,4.1,0.79,3
8.29,11.6,1.7,0.05,1
7.53,10.2,0.0,0.31,2
7.39,12.1,3.6,1.03,4
8.15,11.5,1.7,0.04,1
7.71,4.51,4.7,3.08,6
7.53,9.09,0.0,0.41,2
8.38,12.1,4.4,0.15,3
7.86,7.77,4.9,2.11,6
7.65,9.58,1.1,0.36,2
7.78,11.2,1.4,0.29,2
8.4,12.2,3.2,0.11,2
7.86,7.85,4.6,1.88,5
7.52,3.67,5.9,2.86,6
7.37,12.0,3.8,1.11,4
7.57,11.0,1.5,0.03,1
7.49,10.9,0.0,0.38,2
8.03,12.3,1.1,0.28,2
8.45,12.5,2.9,0.13,2
7.67,7.49,4.3,2.18,6
7.48,5.29,6.1,3.53,6
7.38,11.5,3.7,1.13,4
7.57,11.0,1.5,0.03,1
7.6,9.69,0.0,0.35,2
